ArrestNumber,ArresteeID,ArrestYr
19-035224,100817351,2019
19-035224,102739488,2019
19-035224,102734498,2019
19-035224,102727669,2019
19-046144,102657617,2019
19-046144,100817351,2019
19-046144,102739488,2019
19-046144,102734498,2019
19-046144,102727669,2019
19-017225,102657617,2019
19-017225,100817351,2019
19-017225,102739488,2019
19-017225,102734498,2019
19-017225,102727669,2019
19-010001,102657617,2019
19-010001,100817351,2019
19-010001,102739488,2019
19-010001,102271051,2019
19-010001,102503977,2019
19-023790,102394392,2019
19-023790,102373404,2019
19-023790,102239840,2019
21-024163,102408025,2021
21-025802,102284297,2021
21-018977,101901512,2021
19-046593,102220264,2019
21-005093,102316267,2021
20-015211,15050459,2020
20-015211,102304484,2020
20-008325,102316267,2020
20-008325,15050459,2020
21-025467,102304484,2021
20-035442,102316267,2020
19-038264,15050459,2019
21-004995,102304484,2021
20-014721,102104831,2020
20-014721,102322715,2020
20-022216,102333705,2020
20-022216,102322715,2020
19-007837,102333705,2019
20-014754,102134463,2020
19-011342,102188635,2019
19-043922,101939154,2019
20-027525,101908606,2020
20-023902,101962963,2020
20-038095,101939154,2020
20-024382,101908606,2020
19-023851,101962963,2019
19-005764,101939154,2019
19-030242,101908606,2019
20-000060,101962963,2020
20-016779,102323059,2020
20-029252,25578466,2020
21-026397,102656379,2021
21-026397,102696612,2021
21-026397,102439380,2021
21-027695,102403289,2021
21-027695,102505326,2021
21-027695,102290795,2021
21-027695,102224724,2021
21-027695,102769905,2021
21-027868,102771076,2021
21-027868,102600122,2021
21-027868,102772190,2021
21-027868,102106195,2021
21-025237,102769370,2021
21-025237,102695597,2021
21-025237,100049157,2021
21-025237,102772592,2021
21-025237,102769209,2021
21-021587,102771204,2021
21-021587,102049546,2021
21-021587,102355218,2021
21-021587,101415905,2021
21-021587,102327536,2021
21-026256,100775434,2021
20-014679,100775434,2020
20-014679,102328962,2020
20-019352,102389245,2020
20-019352,102770374,2020
21-025833,102696106,2021
21-026412,102771079,2021
18-014018,102771772,2018
19-033061,102624722,2019
21-026373,102771772,2021
21-026359,102624722,2021
20-013926,102292859,2020
20-013926,100369241,2020
20-013237,102772359,2020
20-013237,100526163,2020
20-021364,102175727,2020
21-026371,100924799,2021
21-026294,102307907,2021
21-026294,102368629,2021
21-026294,102296431,2021
21-027910,102527133,2021
21-027910,100924799,2021
21-027910,102307907,2021
21-028898,102368629,2021
21-028898,102296431,2021
21-028898,102527133,2021
20-019487,100924799,2020
20-019487,102307907,2020
20-022842,102368629,2020
20-022842,102296431,2020
21-026320,102527133,2021
20-035231,100924799,2020
20-005686,102307907,2020
19-011525,102368629,2019
19-040412,102296431,2019
18-019524,102527133,2018
21-026389,100924799,2021
21-026271,102307907,2021
20-006010,102368629,2020
20-025605,102296431,2020
19-037763,102527133,2019
21-026399,100924799,2021
21-023013,102307907,2021
20-022561,102368629,2020
19-002112,102296431,2019
21-026403,102527133,2021
17-042175,100924799,2017
19-026485,102307907,2019
20-019442,102368629,2020
21-026299,102296431,2021
19-004199,102527133,2019
18-018075,102769433,2018
21-025430,12973107,2021
20-019732,102312706,2020
21-026447,102566083,2021
21-026447,102773140,2021
21-026305,102419782,2021
21-026305,101993984,2021
21-027001,102369227,2021
21-027001,102718757,2021
19-002651,102772991,2019
21-026250,102750874,2021
21-004956,102490249,2021
21-025952,102748966,2021
21-026272,102772599,2021
21-021834,102290977,2021
21-026414,102527033,2021
19-042034,102773266,2019
21-026227,10492375,2021
20-011366,102738431,2020
19-001081,15541573,2019
19-009431,102621743,2019
21-026216,102527033,2021
21-026216,102773266,2021
21-028426,10492375,2021
21-028426,102738431,2021
20-029065,15541573,2020
20-029065,102621743,2020
20-029065,102527033,2020
20-029065,102773266,2020
20-026543,10492375,2020
20-026543,102738431,2020
20-026543,15541573,2020
20-026543,102621743,2020
20-028211,102527033,2020
20-028211,102773266,2020
20-028211,10492375,2020
20-028211,102738431,2020
20-032504,15541573,2020
20-032504,102621743,2020
20-032504,102527033,2020
20-032504,102773266,2020
20-028987,10492375,2020
21-021865,102738431,2021
20-016717,15541573,2020
21-026229,102621743,2021
21-026042,102527033,2021
21-026197,102773266,2021
21-026372,10492375,2021
20-000051,102738431,2020
20-000051,15541573,2020
20-003016,102621743,2020
20-003016,102758107,2020
21-026109,26127999,2021
20-029281,102750924,2020
21-026422,100135435,2021
20-019077,100135435,2020
21-026337,100135435,2021
19-007108,102619195,2019
19-028232,102619195,2019
19-016990,13157046,2019
19-016990,102746679,2019
19-023772,102746679,2019
19-023772,102395505,2019
18-027855,102505192,2018
20-029285,101894621,2020
20-035115,102591340,2020
19-013929,102585395,2019
21-026391,102605777,2021
21-026381,102591340,2021
21-010858,102585395,2021
19-017779,102605777,2019
20-017733,102591340,2020
19-015132,102585395,2019
19-009653,102605777,2019
21-026434,102059477,2021
21-004951,102504682,2021
21-025945,102548340,2021
21-004940,102773422,2021
21-025968,102220347,2021
19-028643,102620834,2019
21-026349,102195221,2021
19-007949,102344670,2019
21-005071,102108369,2021
21-026277,102691601,2021
19-036294,102774149,2019
19-036294,102136435,2019
