county,year,month,year_month_str,months_from_reform,n_total_hearings,n_felony_hearings,n_ror,n_hdob,n_hwob,pct_ror,pct_hdob,pct_hwob,pct_felony
Frederick,2017,3,2017-03,4,146,14,68,45,33,46.57534246575342,30.82191780821918,22.602739726027398,9.58904109589041
Frederick,2017,4,2017-04,5,132,12,65,42,25,49.24242424242424,31.818181818181817,18.939393939393938,9.090909090909092
Frederick,2017,5,2017-05,6,131,6,61,36,34,46.56488549618321,27.480916030534353,25.954198473282442,4.580152671755725
Frederick,2017,6,2017-06,7,133,9,65,33,35,48.87218045112782,24.81203007518797,26.31578947368421,6.7669172932330826
Frederick,2017,7,2017-07,8,120,8,67,31,22,55.833333333333336,25.833333333333332,18.333333333333332,6.666666666666667
Frederick,2017,8,2017-08,9,122,9,55,28,39,45.08196721311475,22.950819672131146,31.9672131147541,7.377049180327869
Frederick,2017,9,2017-09,10,117,10,68,21,28,58.11965811965812,17.94871794871795,23.931623931623932,8.547008547008547
Frederick,2017,10,2017-10,11,92,5,61,12,19,66.30434782608695,13.043478260869565,20.652173913043477,5.434782608695652
Frederick,2017,11,2017-11,12,151,8,112,2,37,74.17218543046357,1.3245033112582782,24.503311258278146,5.298013245033113
Frederick,2017,12,2017-12,13,148,6,104,8,36,70.27027027027027,5.405405405405405,24.324324324324323,4.054054054054054
Frederick,2018,1,2018-01,14,125,6,91,1,33,72.8,0.8,26.4,4.8
Frederick,2018,2,2018-02,15,110,8,81,3,26,73.63636363636364,2.727272727272727,23.636363636363637,7.2727272727272725
Frederick,2018,3,2018-03,16,131,10,86,0,45,65.64885496183206,0.0,34.35114503816794,7.633587786259542
Frederick,2018,4,2018-04,17,140,10,88,2,50,62.857142857142854,1.4285714285714286,35.714285714285715,7.142857142857143
Frederick,2018,5,2018-05,18,123,8,87,0,36,70.73170731707317,0.0,29.26829268292683,6.504065040650406
Frederick,2018,6,2018-06,19,120,13,91,1,28,75.83333333333333,0.8333333333333334,23.333333333333332,10.833333333333334
Frederick,2018,7,2018-07,20,143,5,107,1,35,74.82517482517483,0.6993006993006993,24.475524475524477,3.4965034965034967
Frederick,2018,8,2018-08,21,140,12,97,2,41,69.28571428571429,1.4285714285714286,29.285714285714285,8.571428571428571
Frederick,2018,9,2018-09,22,143,10,100,2,41,69.93006993006993,1.3986013986013985,28.67132867132867,6.993006993006993
